from_table,from_column,to_table,to_column
arbeitsplaetze,practice_id,practices,id
employee_appraisals,appraiser_id,team_members,id
employee_appraisals,employee_id,team_members,id
goals,linked_parameter_id,analytics_parameters,id
goals,parent_goal_id,goals,id
goals,practice_id,practices,id
skill_definitions,practice_id,practices,id
skill_definitions,team_id,teams,id
team_assignments,team_id,teams,id
team_members,candidate_id,candidates,id
team_members,practice_id,practices,id
teams,practice_id,practices,id
todos,created_by,users,id
todos,orga_category_id,orga_categories,id
todos,parent_todo_id,todos,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
todos,practice_id,practices,id
